audio_file,duration,num_channels,intent
emabega__881.wav,1.3140625,1,emabega
emabega__403.wav,1.7124375,1,emabega
pitch_scaled_emabega__1446.wav,2.0,1,emabega
noisy_emabega__207.wav,2.0,1,emabega
noisy_emabega__859.wav,2.0,1,emabega
pitch_scaled_emabega__533.wav,2.0,1,emabega
pitch_scaled_emabega__119.wav,2.0,1,emabega
pitch_scaled_emabega__749.wav,2.0,1,emabega
pitch_scaled_emabega__1216.wav,2.0,1,emabega
noisy_emabega__890.wav,2.0,1,emabega
pitch_scaled_emabega__456.wav,2.0,1,emabega
pitch_scaled_emabega__413.wav,2.0,1,emabega
pitch_scaled_emabega__1032.wav,2.0,1,emabega
noisy_emabega__119.wav,2.0,1,emabega
noisy_emabega__19.wav,2.0,1,emabega
noisy_emabega__358.wav,2.0,1,emabega
noisy_emabega__472.wav,2.0,1,emabega
noisy_emabega__1282.wav,2.0,1,emabega
noisy_emabega__411.wav,2.0,1,emabega
emabega__1341.wav,1.36,1,emabega
noisy_emabega__480.wav,2.0,1,emabega
pitch_scaled_emabega__1309.wav,2.0,1,emabega
noisy_emabega__1020.wav,2.0,1,emabega
noisy_emabega__1340.wav,2.0,1,emabega
noisy_emabega__1354.wav,2.0,1,emabega
emabega__534.wav,1.5004375,1,emabega
noisy_emabega__611.wav,2.0,1,emabega
pitch_scaled_emabega__775.wav,2.0,1,emabega
emabega__724.wav,1.6445,1,emabega
pitch_scaled_emabega__614.wav,2.0,1,emabega
emabega__1303.wav,1.28,1,emabega
emabega__115.wav,1.7545625,1,emabega
noisy_emabega__665.wav,2.0,1,emabega
noisy_emabega__647.wav,2.0,1,emabega
noisy_emabega__736.wav,2.0,1,emabega
emabega__1382.wav,1.56,1,emabega
pitch_scaled_emabega__1299.wav,2.0,1,emabega
emabega__1004.wav,1.18,1,emabega
pitch_scaled_emabega__75.wav,2.0,1,emabega
pitch_scaled_emabega__1533.wav,2.0,1,emabega
emabega__541.wav,1.6718125,1,emabega
noisy_emabega__1397.wav,2.0,1,emabega
pitch_scaled_emabega__492.wav,2.0,1,emabega
pitch_scaled_emabega__317.wav,2.0,1,emabega
emabega__1491.wav,1.8,1,emabega
noisy_emabega__1249.wav,2.0,1,emabega
emabega__290.wav,1.486125,1,emabega
pitch_scaled_emabega__325.wav,2.0,1,emabega
noisy_emabega__537.wav,2.0,1,emabega
emabega__1373.wav,1.22,1,emabega
pitch_scaled_emabega__734.wav,2.0,1,emabega
pitch_scaled_emabega__1484.wav,2.0,1,emabega
emabega__1103.wav,1.56,1,emabega
noisy_emabega__368.wav,2.0,1,emabega
noisy_emabega__1148.wav,2.0,1,emabega
emabega__351.wav,1.5924375,1,emabega
emabega__1012.wav,1.24,1,emabega
emabega__166.wav,1.068125,1,emabega
emabega__1458.wav,1.4,1,emabega
noisy_emabega__876.wav,2.0,1,emabega
pitch_scaled_emabega__901.wav,2.0,1,emabega
emabega__973.wav,1.1,1,emabega
pitch_scaled_emabega__1064.wav,2.0,1,emabega
emabega__1094.wav,1.42,1,emabega
