audio_file,duration,num_channels,intent
emabega__232.wav,1.637,1,emabega
emabega__937.wav,1.50725,1,emabega
emabega__1488.wav,1.76,1,emabega
emabega__29.wav,1.63375,1,emabega
emabega__432.wav,1.5209375,1,emabega
emabega__640.wav,1.690875,1,emabega
emabega__763.wav,1.9736875,1,emabega
emabega__580.wav,1.143625,1,emabega
emabega__1267.wav,1.6,1,emabega
emabega__667.wav,1.77175,1,emabega
emabega__1105.wav,1.58,1,emabega
emabega__380.wav,1.3699375,1,emabega
emabega__1356.wav,1.26,1,emabega
emabega__728.wav,1.518625,1,emabega
emabega__195.wav,1.462875,1,emabega
emabega__237.wav,1.7669375,1,emabega
emabega__1088.wav,1.32,1,emabega
emabega__931.wav,1.892375,1,emabega
emabega__284.wav,1.3003125,1,emabega
emabega__1302.wav,1.3,1,emabega
emabega__1316.wav,1.46,1,emabega
emabega__913.wav,1.4403125,1,emabega
emabega__254.wav,1.253875,1,emabega
emabega__229.wav,1.2770625,1,emabega
emabega__948.wav,1.28,1,emabega
emabega__1441.wav,1.44,1,emabega
emabega__859.wav,1.5559375,1,emabega
emabega__521.wav,1.068125,1,emabega
emabega__858.wav,1.958625,1,emabega
emabega__607.wav,1.068125,1,emabega
emabega__352.wav,1.8375,1,emabega
emabega__1370.wav,1.1,1,emabega
emabega__161.wav,1.009125,1,emabega
emabega__1187.wav,1.5,1,emabega
emabega__54.wav,1.938875,1,emabega
emabega__1118.wav,1.54,1,emabega
emabega__558.wav,0.837,1,emabega
emabega__936.wav,1.928125,1,emabega
emabega__1465.wav,1.48,1,emabega
emabega__1392.wav,1.5,1,emabega
emabega__256.wav,1.1841875,1,emabega
emabega__895.wav,1.6605,1,emabega
emabega__779.wav,1.396625,1,emabega
emabega__1024.wav,1.68,1,emabega
emabega__1249.wav,1.42,1,emabega
emabega__1007.wav,1.2,1,emabega
emabega__808.wav,1.678625,1,emabega
emabega__1015.wav,1.24,1,emabega
emabega__76.wav,1.487875,1,emabega
emabega__1331.wav,1.18,1,emabega
emabega__590.wav,1.163875,1,emabega
emabega__457.wav,1.6575,1,emabega
emabega__702.wav,1.580375,1,emabega
emabega__64.wav,1.271875,1,emabega
emabega__1091.wav,1.34,1,emabega
emabega__1529.wav,1.78,1,emabega
emabega__250.wav,1.486125,1,emabega
emabega__257.wav,1.428,1,emabega
emabega__1212.wav,1.4,1,emabega
emabega__618.wav,1.108875,1,emabega
emabega__236.wav,1.8924375,1,emabega
emabega__436.wav,1.5789375,1,emabega
emabega__183.wav,1.34675,1,emabega
emabega__1446.wav,1.14,1,emabega
emabega__301.wav,1.1606875,1,emabega
emabega__802.wav,1.090125,1,emabega
emabega__1372.wav,1.36,1,emabega
emabega__766.wav,1.4976875,1,emabega
emabega__81.wav,0.818875,1,emabega
emabega__1011.wav,1.24,1,emabega
emabega__919.wav,1.6,1,emabega
emabega__1438.wav,1.4,1,emabega
emabega__423.wav,1.4976875,1,emabega
emabega__1191.wav,1.5,1,emabega
emabega__105.wav,1.92725,1,emabega
emabega__1535.wav,1.22,1,emabega
emabega__374.wav,1.282875,1,emabega
emabega__230.wav,1.5905625,1,emabega
emabega__1445.wav,1.32,1,emabega
emabega__806.wav,1.6621875,1,emabega
emabega__1135.wav,1.76,1,emabega
emabega__886.wav,1.998625,1,emabega
emabega__1335.wav,1.099625,1,emabega
emabega__286.wav,1.6950625,1,emabega
emabega__409.wav,1.80825,1,emabega
emabega__1472.wav,1.64,1,emabega
emabega__1132.wav,1.76,1,emabega
emabega__162.wav,1.4860625,1,emabega
emabega__1184.wav,1.58,1,emabega
emabega__1087.wav,1.3964375,1,emabega
emabega__1089.wav,1.56,1,emabega
emabega__1225.wav,1.52,1,emabega
emabega__1424.wav,1.4,1,emabega
emabega__1250.wav,1.68,1,emabega
emabega__466.wav,1.6544375,1,emabega
emabega__1260.wav,1.7,1,emabega
emabega__1453.wav,1.12,1,emabega
emabega__366.wav,1.8228125,1,emabega
emabega__354.wav,1.6370625,1,emabega
emabega__712.wav,1.558625,1,emabega
emabega__455.wav,1.686125,1,emabega
emabega__86.wav,1.83425,1,emabega
emabega__214.wav,1.6085,1,emabega
emabega__350.wav,1.4164375,1,emabega
emabega__541.wav,1.6718125,1,emabega
emabega__1358.wav,1.46,1,emabega
emabega__758.wav,1.6846875,1,emabega
emabega__1384.wav,1.44,1,emabega
emabega__70.wav,1.1669375,1,emabega
emabega__1093.wav,1.92,1,emabega
emabega__609.wav,1.28875,1,emabega
emabega__461.wav,1.279875,1,emabega
emabega__1123.wav,1.5,1,emabega
emabega__375.wav,1.82275,1,emabega
emabega__1432.wav,1.22,1,emabega
emabega__1296.wav,1.44,1,emabega
emabega__241.wav,1.5015625,1,emabega
emabega__175.wav,1.25125,1,emabega
emabega__1493.wav,1.42,1,emabega
emabega__465.wav,1.567375,1,emabega
emabega__411.wav,1.1378125,1,emabega
emabega__1244.wav,1.72,1,emabega
emabega__1067.wav,1.58,1,emabega
emabega__857.wav,1.254,1,emabega
emabega__191.wav,1.2423125,1,emabega
emabega__1545.wav,1.22,1,emabega
emabega__1546.wav,1.18,1,emabega
emabega__644.wav,1.9156875,1,emabega
emabega__1293.wav,1.12,1,emabega
emabega__416.wav,1.1958125,1,emabega
emabega__379.wav,1.304625,1,emabega
emabega__587.wav,0.8794375,1,emabega
emabega__1404.wav,1.36,1,emabega
emabega__869.wav,1.698,1,emabega
emabega__745.wav,1.591875,1,emabega
emabega__450.wav,1.1145625,1,emabega
emabega__1492.wav,1.66,1,emabega
emabega__199.wav,1.49075,1,emabega
emabega__1142.wav,1.92,1,emabega
emabega__248.wav,1.3699375,1,emabega
emabega__690.wav,1.1521875,1,emabega
emabega__807.wav,1.998625,1,emabega
emabega__664.wav,1.558625,1,emabega
emabega__868.wav,1.685,1,emabega
emabega__1367.wav,1.16,1,emabega
emabega__1539.wav,1.32,1,emabega
emabega__542.wav,1.666,1,emabega
emabega__362.wav,1.846,1,emabega
emabega__1537.wav,1.2,1,emabega
emabega__815.wav,1.79625,1,emabega
emabega__210.wav,1.4455625,1,emabega
emabega__443.wav,1.091375,1,emabega
emabega__165.wav,1.915625,1,emabega
emabega__468.wav,1.2655,1,emabega
emabega__967.wav,1.12,1,emabega
emabega__1295.wav,1.3,1,emabega
emabega__553.wav,1.4020625,1,emabega
emabega__1044.wav,1.5,1,emabega
emabega__938.wav,1.377,1,emabega
emabega__1222.wav,1.62,1,emabega
emabega__325.wav,1.3003125,1,emabega
emabega__276.wav,1.28875,1,emabega
emabega__980.wav,1.08,1,emabega
emabega__1100.wav,1.62525,1,emabega
emabega__543.wav,1.753125,1,emabega
emabega__1429.wav,1.36,1,emabega
emabega__1241.wav,1.78,1,emabega
emabega__984.wav,1.18,1,emabega
emabega__1082.wav,1.46,1,emabega
emabega__793.wav,1.3763125,1,emabega
emabega__154.wav,0.92875,1,emabega
emabega__516.wav,1.5905625,1,emabega
emabega__652.wav,1.50925,1,emabega
emabega__1510.wav,1.62,1,emabega
emabega__748.wav,1.2424375,1,emabega
emabega__156.wav,1.2886875,1,emabega
emabega__574.wav,1.3913125,1,emabega
emabega__131.wav,1.7573125,1,emabega
emabega__826.wav,1.518625,1,emabega
emabega__645.wav,1.7291875,1,emabega
emabega__469.wav,0.9229375,1,emabega
emabega__1326.wav,1.44,1,emabega
emabega__1508.wav,1.6,1,emabega
emabega__892.wav,1.4995,1,emabega
emabega__610.wav,0.9461875,1,emabega
emabega__1395.wav,1.18,1,emabega
emabega__717.wav,1.851125,1,emabega
emabega__914.wav,1.57625,1,emabega
emabega__1532.wav,1.7,1,emabega
emabega__972.wav,1.0,1,emabega
emabega__682.wav,1.478625,1,emabega
emabega__1330.wav,1.22,1,emabega
emabega__1253.wav,1.46,1,emabega
emabega__1338.wav,1.34,1,emabega
emabega__703.wav,1.053625,1,emabega
emabega__1454.wav,1.32,1,emabega
emabega__52.wav,1.7415,1,emabega
emabega__373.wav,1.0449375,1,emabega
emabega__1480.wav,1.8,1,emabega
emabega__796.wav,1.4450625,1,emabega
emabega__1337.wav,1.16,1,emabega
emabega__1402.wav,1.42,1,emabega
emabega__1041.wav,1.4,1,emabega
emabega__336.wav,0.9694375,1,emabega
emabega__617.wav,1.428,1,emabega
emabega__764.wav,1.71825,1,emabega
emabega__727.wav,1.4920625,1,emabega
emabega__866.wav,1.494875,1,emabega
emabega__584.wav,1.196375,1,emabega
emabega__1257.wav,1.46,1,emabega
emabega__1325.wav,1.24,1,emabega
emabega__1139.wav,1.96,1,emabega
emabega__1383.wav,1.52,1,emabega
emabega__647.wav,1.8808125,1,emabega
emabega__770.wav,1.2184375,1,emabega
emabega__92.wav,1.6021875,1,emabega
emabega__1003.wav,1.2,1,emabega
emabega__342.wav,1.3931875,1,emabega
emabega__190.wav,1.61375,1,emabega
emabega__511.wav,1.5891875,1,emabega
emabega__431.wav,1.61375,1,emabega
emabega__975.wav,1.26,1,emabega
emabega__1297.wav,1.2,1,emabega
emabega__332.wav,1.3351875,1,emabega
emabega__1193.wav,1.64,1,emabega
emabega__633.wav,1.5093125,1,emabega
emabega__69.wav,1.97875,1,emabega
emabega__737.wav,1.518625,1,emabega
emabega__637.wav,1.123375,1,emabega
emabega__1422.wav,1.18,1,emabega
emabega__309.wav,1.7311875,1,emabega
emabega__17.wav,1.54,1,emabega
emabega__1523.wav,1.64,1,emabega
emabega__1173.wav,1.8,1,emabega
emabega__697.wav,0.980375,1,emabega
emabega__1221.wav,1.52,1,emabega
emabega__167.wav,1.3699375,1,emabega
emabega__274.wav,1.277125,1,emabega
emabega__262.wav,1.8575625,1,emabega
emabega__1542.wav,1.46,1,emabega
emabega__627.wav,1.8459375,1,emabega
emabega__1393.wav,1.34,1,emabega
emabega__464.wav,1.491875,1,emabega
emabega__1054.wav,1.5,1,emabega
emabega__104.wav,1.3235625,1,emabega
emabega__735.wav,1.238625,1,emabega
emabega__665.wav,1.958625,1,emabega
emabega__228.wav,1.358375,1,emabega
emabega__364.wav,1.9180625,1,emabega
emabega__363.wav,1.659,1,emabega
emabega__691.wav,0.942,1,emabega
emabega__586.wav,0.963625,1,emabega
emabega__648.wav,1.38025,1,emabega
emabega__1231.wav,1.54,1,emabega
emabega__1018.wav,1.52,1,emabega
emabega__218.wav,1.4860625,1,emabega
emabega__1117.wav,1.26,1,emabega
emabega__979.wav,1.22,1,emabega
emabega__270.wav,1.7421875,1,emabega
emabega__1071.wav,1.56,1,emabega
emabega__239.wav,1.4034375,1,emabega
emabega__658.wav,1.3105,1,emabega
emabega__897.wav,1.724125,1,emabega
emabega__736.wav,1.478625,1,emabega
emabega__999.wav,0.84,1,emabega
emabega__602.wav,1.4454375,1,emabega
emabega__66.wav,1.3878125,1,emabega
emabega__444.wav,1.0565,1,emabega
emabega__497.wav,1.425125,1,emabega
emabega__53.wav,1.439625,1,emabega
emabega__595.wav,1.62725,1,emabega
emabega__1070.wav,1.4,1,emabega
emabega__638.wav,1.3276875,1,emabega
emabega__603.wav,1.2190625,1,emabega
emabega__1414.wav,1.46,1,emabega
emabega__882.wav,1.562,1,emabega
emabega__143.wav,1.3293125,1,emabega
emabega__1158.wav,1.64,1,emabega
emabega__445.wav,1.4686875,1,emabega
emabega__1440.wav,1.28,1,emabega
emabega__1482.wav,1.82,1,emabega
emabega__1113.wav,1.76,1,emabega
emabega__246.wav,1.6254375,1,emabega
emabega__171.wav,1.172625,1,emabega
emabega__108.wav,1.4164375,1,emabega
emabega__650.wav,1.4441875,1,emabega
emabega__320.wav,1.2306875,1,emabega
emabega__1001.wav,1.08,1,emabega
emabega__91.wav,1.4048125,1,emabega
emabega__345.wav,1.86925,1,emabega
emabega__688.wav,1.878625,1,emabega
emabega__1491.wav,1.8,1,emabega
emabega__1499.wav,1.8,1,emabega
emabega__757.wav,1.3921875,1,emabega
emabega__222.wav,1.9505,1,emabega
emabega__1075.wav,1.54,1,emabega
emabega__591.wav,1.1916875,1,emabega
emabega__1228.wav,1.52,1,emabega
emabega__1490.wav,1.9,1,emabega
emabega__881.wav,1.3140625,1,emabega
emabega__1148.wav,1.56,1,emabega
emabega__1328.wav,1.16,1,emabega
emabega__963.wav,0.98,1,emabega
emabega__1365.wav,1.2,1,emabega
emabega__743.wav,1.278625,1,emabega
emabega__669.wav,1.3943125,1,emabega
emabega__594.wav,1.6514375,1,emabega
emabega__774.wav,1.068375,1,emabega
emabega__419.wav,1.92725,1,emabega
emabega__1033.wav,1.42,1,emabega
emabega__693.wav,1.918625,1,emabega
emabega__72.wav,1.80225,1,emabega
emabega__458.wav,1.6860625,1,emabega
emabega__519.wav,1.1378125,1,emabega
emabega__1252.wav,1.2319375,1,emabega
emabega__300.wav,1.21725,1,emabega
emabega__1156.wav,1.68,1,emabega
emabega__642.wav,1.86925,1,emabega
emabega__883.wav,1.718625,1,emabega
emabega__746.wav,1.652125,1,emabega
emabega__679.wav,1.798625,1,emabega
emabega__1352.wav,1.3,1,emabega
emabega__405.wav,1.477375,1,emabega
emabega__447.wav,1.1203125,1,emabega
emabega__67.wav,1.2254375,1,emabega
emabega__646.wav,1.3998125,1,emabega
emabega__771.wav,1.722375,1,emabega
emabega__1497.wav,1.74,1,emabega
emabega__504.wav,1.1405625,1,emabega
emabega__939.wav,1.7,1,emabega
emabega__1164.wav,1.64,1,emabega
emabega__413.wav,1.0245625,1,emabega
emabega__672.wav,1.918625,1,emabega
emabega__136.wav,1.3699375,1,emabega
emabega__1122.wav,1.32,1,emabega
emabega__408.wav,1.52125,1,emabega
emabega__79.wav,0.9650625,1,emabega
emabega__1524.wav,1.66,1,emabega
emabega__169.wav,1.3931875,1,emabega
emabega__615.wav,1.8691875,1,emabega
emabega__1436.wav,1.46,1,emabega
emabega__1540.wav,1.38,1,emabega
emabega__1039.wav,1.36,1,emabega
emabega__867.wav,1.7895,1,emabega
emabega__448.wav,1.462875,1,emabega
emabega__196.wav,1.9331875,1,emabega
emabega__238.wav,1.7783125,1,emabega
emabega__1478.wav,1.8,1,emabega
emabega__1351.wav,1.46,1,emabega
emabega__209.wav,1.834375,1,emabega
emabega__1514.wav,1.8,1,emabega
emabega__63.wav,1.9245,1,emabega
emabega__391.wav,1.2753125,1,emabega
emabega__565.wav,1.709625,1,emabega
emabega__734.wav,1.289375,1,emabega
emabega__976.wav,1.92,1,emabega
emabega__418.wav,1.71825,1,emabega
emabega__956.wav,1.02,1,emabega
emabega__476.wav,1.5383125,1,emabega
emabega__1103.wav,1.56,1,emabega
emabega__1411.wav,1.52,1,emabega
emabega__14.wav,1.44,1,emabega
emabega__1305.wav,1.26,1,emabega
emabega__514.wav,1.50925,1,emabega
emabega__1360.wav,1.2,1,emabega
emabega__393.wav,1.253875,1,emabega
emabega__1085.wav,1.52,1,emabega
emabega__1053.wav,1.62,1,emabega
emabega__1294.wav,1.24,1,emabega
emabega__990.wav,1.04,1,emabega
emabega__535.wav,1.262625,1,emabega
emabega__122.wav,1.082,1,emabega
emabega__6.wav,1.4018125,1,emabega
emabega__778.wav,1.0859375,1,emabega
emabega__365.wav,1.6601875,1,emabega
emabega__265.wav,1.090125,1,emabega
emabega__1270.wav,1.26,1,emabega
emabega__1452.wav,1.0916875,1,emabega
emabega__507.wav,1.89825,1,emabega
emabega__560.wav,1.1203125,1,emabega
emabega__920.wav,1.3801875,1,emabega
emabega__170.wav,1.422875,1,emabega
emabega__825.wav,1.684125,1,emabega
emabega__328.wav,1.4860625,1,emabega
emabega__158.wav,1.3235625,1,emabega
emabega__1368.wav,1.36,1,emabega
emabega__201.wav,1.72625,1,emabega
emabega__166.wav,1.068125,1,emabega
emabega__656.wav,1.18425,1,emabega
emabega__1108.wav,1.72,1,emabega
emabega__508.wav,1.967875,1,emabega
emabega__1038.wav,1.32,1,emabega
emabega__244.wav,1.3003125,1,emabega
emabega__19.wav,1.64,1,emabega
emabega__1517.wav,1.88,1,emabega
emabega__359.wav,1.19125,1,emabega
emabega__159.wav,1.3119375,1,emabega
emabega__680.wav,1.5890625,1,emabega
emabega__308.wav,1.5093125,1,emabega
emabega__830.wav,1.958625,1,emabega
emabega__601.wav,1.2248125,1,emabega
emabega__1188.wav,1.64,1,emabega
emabega__1072.wav,1.28,1,emabega
emabega__134.wav,1.8691875,1,emabega
emabega__692.wav,1.798625,1,emabega
emabega__871.wav,1.798625,1,emabega
emabega__759.wav,1.7995625,1,emabega
emabega__485.wav,1.4048125,1,emabega
emabega__1237.wav,1.66,1,emabega
emabega__1525.wav,1.64,1,emabega
emabega__935.wav,1.2668125,1,emabega
emabega__1202.wav,1.8,1,emabega
emabega__1315.wav,1.32,1,emabega
emabega__1450.wav,1.16,1,emabega
emabega__614.wav,1.74175,1,emabega
emabega__738.wav,1.278625,1,emabega
emabega__253.wav,1.277125,1,emabega
emabega__1322.wav,1.36,1,emabega
emabega__340.wav,1.45125,1,emabega
emabega__635.wav,1.6811875,1,emabega
emabega__831.wav,1.958625,1,emabega
emabega__949.wav,1.3,1,emabega
emabega__1291.wav,1.24,1,emabega
emabega__1467.wav,1.42,1,emabega
emabega__1379.wav,1.66,1,emabega
emabega__790.wav,1.8094375,1,emabega
emabega__1474.wav,1.9,1,emabega
emabega__917.wav,1.4276875,1,emabega
emabega__488.wav,1.6544375,1,emabega
emabega__223.wav,1.56675,1,emabega
emabega__88.wav,1.9505,1,emabega
emabega__36.wav,1.74,1,emabega
emabega__313.wav,1.5148125,1,emabega
emabega__225.wav,1.777375,1,emabega
emabega__498.wav,1.5325625,1,emabega
emabega__1307.wav,1.26,1,emabega
emabega__1444.wav,1.22,1,emabega
emabega__381.wav,1.9040625,1,emabega
emabega__971.wav,1.22,1,emabega
emabega__1481.wav,1.78,1,emabega
emabega__1317.wav,1.26,1,emabega
emabega__1475.wav,1.92,1,emabega
emabega__1208.wav,1.64,1,emabega
emabega__1516.wav,1.72,1,emabega
emabega__1401.wav,1.38,1,emabega
emabega__1096.wav,1.5,1,emabega
emabega__964.wav,1.08,1,emabega
emabega__1321.wav,1.14,1,emabega
emabega__73.wav,0.96875,1,emabega
emabega__471.wav,1.9098125,1,emabega
emabega__267.wav,1.9736875,1,emabega
emabega__533.wav,1.9736875,1,emabega
emabega__991.wav,1.14,1,emabega
emabega__1049.wav,1.48,1,emabega
emabega__1040.wav,1.52,1,emabega
emabega__1197.wav,1.58,1,emabega
emabega__1442.wav,1.22,1,emabega
emabega__884.wav,1.4066875,1,emabega
emabega__144.wav,1.1378125,1,emabega
emabega__1421.wav,1.4,1,emabega
emabega__953.wav,1.06,1,emabega
emabega__1308.wav,1.28,1,emabega
emabega__797.wav,1.4678125,1,emabega
emabega__343.wav,1.55575,1,emabega
emabega__1129.wav,1.86,1,emabega
emabega__578.wav,1.1029375,1,emabega
emabega__904.wav,1.9,1,emabega
emabega__481.wav,1.583,1,emabega
emabega__1176.wav,1.26,1,emabega
emabega__1045.wav,1.4,1,emabega
emabega__1399.wav,1.24,1,emabega
emabega__1470.wav,1.54,1,emabega
emabega__489.wav,1.4976875,1,emabega
emabega__720.wav,1.678625,1,emabega
emabega__249.wav,1.2886875,1,emabega
emabega__741.wav,1.358625,1,emabega
emabega__1026.wav,1.48,1,emabega
emabega__1263.wav,1.54,1,emabega
emabega__1501.wav,1.98,1,emabega
emabega__1266.wav,1.4308125,1,emabega
emabega__1348.wav,1.16,1,emabega
emabega__299.wav,1.7229375,1,emabega
emabega__251.wav,1.5325,1,emabega
emabega__1079.wav,1.3,1,emabega
emabega__1483.wav,1.88,1,emabega
emabega__176.wav,1.3119375,1,emabega
emabega__1183.wav,1.8,1,emabega
emabega__68.wav,1.8685,1,emabega
emabega__371.wav,1.2886875,1,emabega
emabega__1131.wav,1.74,1,emabega
emabega__1201.wav,1.78,1,emabega
emabega__1215.wav,1.8,1,emabega
emabega__657.wav,1.563125,1,emabega
emabega__1023.wav,1.62,1,emabega
emabega__987.wav,1.04,1,emabega
emabega__141.wav,1.161,1,emabega
emabega__211.wav,1.772375,1,emabega
emabega__870.wav,1.926375,1,emabega
emabega__1013.wav,1.2,1,emabega
emabega__502.wav,1.1145625,1,emabega
emabega__310.wav,1.499875,1,emabega
emabega__1046.wav,1.38,1,emabega
emabega__382.wav,1.8643125,1,emabega
emabega__1037.wav,1.38,1,emabega
emabega__1182.wav,1.6,1,emabega
emabega__361.wav,1.5905625,1,emabega
emabega__862.wav,1.175,1,emabega
emabega__583.wav,0.991,1,emabega
emabega__33.wav,1.7794375,1,emabega
emabega__675.wav,1.078625,1,emabega
emabega__814.wav,1.357,1,emabega
emabega__1381.wav,1.48,1,emabega
emabega__116.wav,1.671875,1,emabega
emabega__399.wav,0.85625,1,emabega
emabega__1002.wav,1.18,1,emabega
emabega__1390.wav,1.26,1,emabega
emabega__351.wav,1.5924375,1,emabega
emabega__721.wav,1.318625,1,emabega
emabega__593.wav,1.5365,1,emabega
emabega__1281.wav,1.26,1,emabega
emabega__781.wav,1.403125,1,emabega
emabega__531.wav,1.55575,1,emabega
emabega__961.wav,1.1,1,emabega
emabega__288.wav,1.2886875,1,emabega
emabega__905.wav,1.24225,1,emabega
emabega__145.wav,1.491875,1,emabega
emabega__901.wav,1.2488125,1,emabega
emabega__625.wav,1.4539375,1,emabega
emabega__1306.wav,1.24,1,emabega
emabega__1219.wav,1.74,1,emabega
emabega__1347.wav,1.18,1,emabega
emabega__676.wav,1.67075,1,emabega
emabega__529.wav,1.381625,1,emabega
emabega__958.wav,1.16,1,emabega
emabega__1170.wav,1.66,1,emabega
emabega__821.wav,1.6721875,1,emabega
emabega__632.wav,1.6718125,1,emabega
emabega__532.wav,1.729875,1,emabega
emabega__523.wav,1.31775,1,emabega
emabega__255.wav,1.253875,1,emabega
emabega__1460.wav,1.56,1,emabega
emabega__1289.wav,1.14,1,emabega
emabega__219.wav,1.4976875,1,emabega
emabega__1061.wav,1.66,1,emabega
emabega__749.wav,1.4319375,1,emabega
emabega__1468.wav,1.48,1,emabega
emabega__1378.wav,1.5,1,emabega
emabega__243.wav,1.18425,1,emabega
emabega__1152.wav,1.34,1,emabega
emabega__952.wav,1.18,1,emabega
emabega__1112.wav,1.72,1,emabega
emabega__1265.wav,1.32,1,emabega
emabega__1451.wav,1.38,1,emabega
emabega__1430.wav,1.18,1,emabega
emabega__1509.wav,1.56,1,emabega
emabega__653.wav,1.8185,1,emabega
emabega__1400.wav,1.38,1,emabega
emabega__1541.wav,1.44,1,emabega
emabega__1477.wav,1.7,1,emabega
emabega__198.wav,1.259875,1,emabega
emabega__670.wav,1.81325,1,emabega
emabega__1494.wav,1.66,1,emabega
emabega__9.wav,1.42,1,emabega
emabega__1056.wav,1.52,1,emabega
emabega__188.wav,1.82275,1,emabega
emabega__784.wav,1.494,1,emabega
emabega__189.wav,1.938875,1,emabega
emabega__951.wav,1.2,1,emabega
emabega__512.wav,1.995,1,emabega
emabega__660.wav,1.8346875,1,emabega
emabega__860.wav,1.6665,1,emabega
emabega__26.wav,1.6,1,emabega
emabega__187.wav,1.253875,1,emabega
emabega__848.wav,1.998625,1,emabega
emabega__1456.wav,1.26,1,emabega
emabega__820.wav,1.271375,1,emabega
emabega__121.wav,1.4988125,1,emabega
emabega__1256.wav,1.6,1,emabega
emabega__1534.wav,1.74,1,emabega
emabega__138.wav,1.197,1,emabega
emabega__22.wav,1.4,1,emabega
emabega__1036.wav,1.38,1,emabega
emabega__1031.wav,1.48,1,emabega
emabega__1462.wav,1.42,1,emabega
emabega__765.wav,1.172625,1,emabega
emabega__556.wav,1.2015625,1,emabega
emabega__989.wav,1.04,1,emabega
emabega__180.wav,1.4860625,1,emabega
emabega__1300.wav,1.32,1,emabega
emabega__1487.wav,1.82,1,emabega
emabega__1285.wav,1.04,1,emabega
emabega__1419.wav,1.32,1,emabega
emabega__1185.wav,1.52,1,emabega
emabega__1415.wav,1.08,1,emabega
emabega__563.wav,1.753125,1,emabega
emabega__834.wav,0.90725,1,emabega
emabega__513.wav,1.676625,1,emabega
emabega__887.wav,1.5371875,1,emabega
emabega__57.wav,0.754625,1,emabega
emabega__777.wav,1.5979375,1,emabega
emabega__687.wav,1.6221875,1,emabega
emabega__1189.wav,1.48,1,emabega
emabega__1198.wav,1.44,1,emabega
emabega__613.wav,1.6405,1,emabega
emabega__334.wav,1.3931875,1,emabega
emabega__1143.wav,1.74,1,emabega
emabega__525.wav,1.2074375,1,emabega
emabega__112.wav,1.2125,1,emabega
emabega__390.wav,1.4479375,1,emabega
emabega__567.wav,1.9398125,1,emabega
emabega__517.wav,1.544125,1,emabega
emabega__318.wav,1.729875,1,emabega
emabega__926.wav,1.4929375,1,emabega
emabega__1159.wav,1.74,1,emabega
emabega__1084.wav,1.54,1,emabega
emabega__1459.wav,1.22,1,emabega
emabega__863.wav,1.5925625,1,emabega
emabega__1345.wav,1.32,1,emabega
emabega__1196.wav,1.7,1,emabega
emabega__275.wav,1.24225,1,emabega
emabega__111.wav,1.6021875,1,emabega
emabega__484.wav,1.6021875,1,emabega
emabega__478.wav,1.625375,1,emabega
emabega__217.wav,1.7415,1,emabega
emabega__983.wav,1.12,1,emabega
emabega__1495.wav,1.64,1,emabega
emabega__527.wav,1.648625,1,emabega
emabega__950.wav,1.32,1,emabega
emabega__327.wav,1.6021875,1,emabega
emabega__1332.wav,1.52,1,emabega
emabega__89.wav,1.544125,1,emabega
emabega__1127.wav,1.6220625,1,emabega
emabega__401.wav,1.6428125,1,emabega
emabega__1030.wav,1.34,1,emabega
emabega__339.wav,1.8459375,1,emabega
emabega__473.wav,1.24225,1,emabega
emabega__1062.wav,1.6,1,emabega
emabega__569.wav,1.87375,1,emabega
emabega__1502.wav,1.7,1,emabega
emabega__726.wav,1.158625,1,emabega
emabega__16.wav,1.68,1,emabega
emabega__600.wav,1.18425,1,emabega
emabega__579.wav,1.3525625,1,emabega
emabega__356.wav,1.3720625,1,emabega
emabega__496.wav,1.4338125,1,emabega
emabega__358.wav,1.6835,1,emabega
emabega__1272.wav,1.2,1,emabega
emabega__48.wav,1.5209375,1,emabega
emabega__1464.wav,1.64,1,emabega
emabega__480.wav,1.6961875,1,emabega
emabega__164.wav,1.9273125,1,emabega
emabega__398.wav,0.97525,1,emabega
emabega__1466.wav,1.38,1,emabega
emabega__700.wav,1.8316875,1,emabega
emabega__1157.wav,1.76,1,emabega
emabega__643.wav,1.428,1,emabega
emabega__846.wav,1.2910625,1,emabega
emabega__824.wav,1.574625,1,emabega
emabega__1511.wav,1.66,1,emabega
emabega__1353.wav,1.38,1,emabega
emabega__1461.wav,1.4598125,1,emabega
